ADD1, ADD, Passed, mjnwlc, (normal case) 349756+ 2387468
ADD2, ADD, Passed, mjnwlc, 0xFFFFFFFF + 0x2
ADD3, ADD, Passed, mjnwlc, 0x70000000 + 0x0FFFFFFF
ADD4, ADD, Passed, mjnwlc, 0x7FFFFFFF + 0x7FFFFFFF
ADD5, ADD, Passed, mjnwlc, 0x8000000 + 0x1
ADD6, ADD, Passed, mjnwlc, 0xFFFFFFFF + 0x80000002
ADD7, ADD, Passed, mjnwlc, 0x8000000 + 0x80000000
ADDI1, ADDI, Passed, mjnwlc, Normal Case (3586911 + 47812)
ADDI2, ADDI, Passed, mjnwlc, 0xFFFFFFFF + 0x2
ADDI3, ADDI, Passed, mjnwlc, 0x7FFFFFFF + 0x7FFF
ADDI4, ADDI, Passed, mjnwlc, 0xFFFFFFFF + 0x8000
ADDI5, ADDI, Passed, mjnwlc, 0x8000000 + 0x8000
ADDIU1, ADDIU, Passed, mjnwlc, Normal Case (5454435 + 12495)
ADDIU2, ADDIU, Passed, mjnwlc, 0xFFFFFFFF + 0x2
ADDIU3, ADDIU, Passed, mjnwlc, 0x7000000 + 0xFFFF
ADDIU4, ADDIU, Passed, mjnwlc, 0x7FFFFFFF + 0x7FFF
ADDIU5, ADDIU, Passed, mjnwlc, 0x8000000 + 0x1
ADDIU6, ADDIU, Passed, mjnwlc, 0XFFFFFFFF + 0xFFFF
ADDU1, ADDU, Passed, mjnwlc, (normal case) 567812 + 418141
ADDU2, ADDU, Passed, mjnwlc, 0xFFFFFFFF + 0x2
ADDU3, ADDU, Passed, mjnwlc, 0x7000000 + 0x0FFFFFFF
ADDU4, ADDU, Passed, mjnwlc, 0x7FFFFFFF + 0x7FFFFFFF
ADDU5, ADDU, Passed, mjnwlc, 0x8000000 + 0x1
ADDU6, ADDU, Passed, mjnwlc, 0xFFFFFFFF + 0x80000002
ADDU7, ADDU, Passed, mjnwlc, 0x8000000 + 0x80000001
AND1, AND, Passed, mjnwlc, 0x0 & 0x0
AND2, AND, Passed, mjnwlc, 0xAAAAAAAA & 0x55555555
AND3, AND, Passed, mjnwlc, 0xFFFFFFFFF & 0xFFFFFFFF
ANDI1, ANDI, Passed, mjnwlc, 0x0 & 0x0
ANDI2, ANDI, Passed, mjnwlc, 0xAAAAAAAA & 0x5555
ANDI3, ANDI, Passed, mjnwlc, 0xFFFFFFFF & 0xFFFF
LUI1, LUI, Passed, mjnwlc, 0x0
LUI2, LUI, Passed, mjnwlc, 0xFFFF
OR1, OR, Passed, mjnwlc, 0x0 | 0x0
OR2, OR, Passed, mjnwlc, 0xAAAAAAAA | 0x55555555
OR3, OR, Passed, mjnwlc, 0x0FFFFFFF | 0x0FFFFFFF
ORI1, ORI, Passed, mjnwlc, 0x0 | 0x0
ORI2, ORI, Passed, mjnwlc, 0xAAAAAAAA | 0x5555
ORI3, ORI, Passed, mjnwlc, 0x0FFFFFFF | 0xFFFF
SLL1, SLL, Passed, mjnwlc, 0x0 << 16
SLL2, SLL, Passed, mjnwlc, 0xFFFF << 16
SLL3, SLL, Passed, mjnwlc, 0xFFFFFFFF << 16
SLL4, SLL, Passed, mjnwlc, 0xFFFFFFFF << 31
SLLV1, SLLV, Passed, mjnwlc, 0x0 << 16
SLLV2, SLLV, Passed, mjnwlc, 0xFFFF << 16
SLLV3, SLLV, Passed, mjnwlc, 0xFFFFFFFF << 16
SLLV4, SLLV, Passed, mjnwlc, 0xFFFFFFFF << 31
SLLV5, SLLV, Passed, mjnwlc, 0xFFFFFFFF << 10000 (same as shifting by 1 0000)
SLT1, SLT, Passed, mjnwlc, 0xFFFFFFFE < 0xFFFFFFFF
SLT2, SLT, Passed, mjnwlc, 0xFFFFFFFF < 0x80000000
SLT3, SLT, Passed, mjnwlc, 0x7FFFFFFF < 0x80000000
SLT4, SLT, Passed, mjnwlc, 0x7FFFFFFF < 0x7FFFFFFE
SLT5, SLT, Passed, mjnwlc, 0xFFFFFFFF < 0xFFFFFFFF
SLTI1, SLTI, Passed, mjnwlc, 0xFFFFFFFE < 0xFFFF
SLTI2, SLTI, Passed, mjnwlc, 0xFFFFFFFF < 0x8000
SLTI3, SLTI, Passed, mjnwlc, 0x7FFFFFFF < 0xFFFF
SLTI4, SLTI, Passed, mjnwlc, 0x7FFFFFFF < 0x7FFF
SLTI5, SLTI, Passed, mjnwlc, 0x7FFF < 0x7FFF
SLTI6, SLTI, Passed, mjnwlc, 0x7FFE < 0x7FFF
SLTI7, SLTI, Passed, mjnwlc, 0xFFFF < 0xFFFF
SLTIU1, SLTIU, Passed, mjnwlc, 0xFFFFFFFE < 0xFFFF
SLTIU2, SLTIU, Passed, mjnwlc, 0xFFFFFFFF < 0x8000
SLTIU3, SLTIU, Passed, mjnwlc, 0x7FFFFFFF < 0xFFFF
SLTIU4, SLTIU, Passed, mjnwlc, 0x7FFFFFFF < 0x7FFF
SLTIU5, SLTIU, Passed, mjnwlc, 0x7FFF < 0x7FFF
SLTIU6, SLTIU, Passed, mjnwlc, 0x7FFE < 0x7FFF
SLTIU7, SLTIU, Passed, mjnwlc, 0xFFFF < 0xFFFF
SLTU1, SLTU, Passed, mjnwlc, 0xFFFFFFFE < 0xFFFFFFFF
SLTU2, SLTU, Passed, mjnwlc, 0xFFFFFFFF < 0x80000000
SLTU3, SLTU, Passed, mjnwlc, 0x7FFFFFFF < 0x80000000
SLTU4, SLTU, Passed, mjnwlc, 0x7FFFFFFF < 0x7FFFFFFE
SLTU5, SLTU, Passed, mjnwlc, 0xFFFFFFFF < 0xFFFFFFFF
SRA1, SRA, Passed, mjnwlc, 0x8000000 >> 16
SRA2, SRA, Passed, mjnwlc, 0x7FFFFFFF >> 16
SRA3, SRA, Passed, mjnwlc, 0xFFFFFFFF >> 31
SRAV1, SRAV, Passed, mjnwlc, 0x8000000 >> 16
SRAV2, SRAV, Passed, mjnwlc, 0x7FFFFFFF >> 16
SRAV3, SRAV, Passed, mjnwlc, 0xFFFFFFFF >> 32
SRAV4, SRAV, Passed, mjnwlc, 0x7FFF0000 >> 10000 (same as shifting by 16 bits)
SRL1, SRL, Passed, mjnwlc, 0x0 >> 16
SRL2, SRL, Passed, mjnwlc, 0xFFFF0000 >> 16
SRL3, SRL, Passed, mjnwlc, 0xFFFFFFFF >> 16
SRL4, SRL, Passed, mjnwlc, 0xFFFFFFFF >> 31
SRLV1, SRLV, Passed, mjnwlc, 0x0 >> 16
SRLV2, SRLV, Passed, mjnwlc, 0xFFFF0000 >> 16
SRLV3, SRLV, Passed, mjnwlc, 0xFFFFFFFF >> 16
SRLV4, SRLV, Passed, mjnwlc, 0xFFFFFFFF >> 31
SRLV5, SRLV, Passed, mjnwlc, 0xFFFFFFFF >> 10000 (same as shifting 16 bits)
SUB1, SUB, Passed, mjnwlc, 0x1 - 0x2
SUB2, SUB, Passed, mjnwlc, 0x1 - 0xFFFFFFFF
SUB3, SUB, Passed, mjnwlc, 0xFFFFFFFF - 0xFFFFFFFE
SUB4, SUB, Passed, mjnwlc, 0xFFFFFFFF - 0x1
SUB5, SUB, Passed, mjnwlc, 0x80000000 - 0x1
SUB6, SUB, Passed, mjnwlc, 0x0 - 0x80000000
SUB7, SUB, Passed, mjnwlc, 0x80000000 - 0x7FFFFFFF
SUBU1, SUBU, Passed, mjnwlc, 0x2 - 0x1
