ADD1, ADD, Passed, mjnwlc, (normal case) 349756+ 2387468
ADD2, ADD, Passed, mjnwlc, 0xFFFFFFFF + 0x2
ADD3, ADD, Passed, mjnwlc, 0x70000000 + 0x0FFFFFFF
ADD4, ADD, Passed, mjnwlc, 0x7FFFFFFF + 0x7FFFFFFF
ADD5, ADD, Passed, mjnwlc, 0x8000000 + 0x1
ADD6, ADD, Passed, mjnwlc, 0xFFFFFFFF + 0x80000002
ADD7, ADD, Passed, mjnwlc, 0x8000000 + 0x80000000
ADDI1, ADDI, Passed, mjnwlc, Normal Case (3586911 + 47812)
ADDI2, ADDI, Passed, mjnwlc, 0xFFFFFFFF + 0x2
ADDI3, ADDI, Passed, mjnwlc, 0x7FFFFFFF + 0x7FFF
ADDI4, ADDI, Passed, mjnwlc, 0xFFFFFFFF + 0x8000
ADDI5, ADDI, Passed, mjnwlc, 0x8000000 + 0x8000
ADDIU1, ADDIU, Passed, mjnwlc, Normal Case (5454435 + 12495)
ADDIU2, ADDIU, Passed, mjnwlc, 0xFFFFFFFF + 0x2
ADDIU3, ADDIU, Passed, mjnwlc, 0x7000000 + 0xFFFF
ADDIU4, ADDIU, Passed, mjnwlc, 0x7FFFFFFF + 0x7FFF
ADDIU5, ADDIU, Passed, mjnwlc, 0x8000000 + 0x1
ADDIU6, ADDIU, Passed, mjnwlc, 0XFFFFFFFF + 0xFFFF
ADDU1, ADDU, Passed, mjnwlc, (normal case) 567812 + 418141
ADDU2, ADDU, Passed, mjnwlc, 0xFFFFFFFF + 0x2
ADDU3, ADDU, Passed, mjnwlc, 0x7000000 + 0x0FFFFFFF
ADDU4, ADDU, Passed, mjnwlc, 0x7FFFFFFF + 0x7FFFFFFF
ADDU5, ADDU, Passed, mjnwlc, 0x8000000 + 0x1
ADDU6, ADDU, Passed, mjnwlc, 0xFFFFFFFF + 0x80000002
ADDU7, ADDU, Passed, mjnwlc, 0x8000000 + 0x80000001
AND1, AND, Passed, mjnwlc, 0x0 & 0x0
AND2, AND, Passed, mjnwlc, 0xAAAAAAAA & 0x55555555
AND3, AND, Passed, mjnwlc, 0xFFFFFFFFF & 0xFFFFFFFF
ANDI1, ANDI, Passed, mjnwlc, 0x0 & 0x0
ANDI2, ANDI, Passed, mjnwlc, 0xAAAAAAAA & 0x5555
ANDI3, ANDI, Passed, mjnwlc, 0xFFFFFFFF & 0xFFFF
BEQ1, BEQ, Passed, mjnwlc, Positive Branch with Delay Slot Check
BEQ2, BEQ, Passed, mjnwlc, Negative Branch followed by No Branch with Delay Slot Check
BEQ3, BEQ, Passed, mjnwlc, Branch Out of Bounds (Negative)
BEQ4, BEQ, Passed, mjnwlc, Branch out of bounds (Positive)
BGEZ1, BGEZ, Passed, mjnwlc, Positive Branch (GZ) + Positive Branch (EZ) + Delay Slot Check
BGEZ2, BGEZ, Passed, mjnwlc, Negative Branch (GZ) + Negative Branch (EZ) + No Branch + Delay Slot Check
BGEZ3, BGEZ, Passed, mjnwlc, Jump Out of Bounds Negative
BGEZ4, BGEZ, Passed, mjnwlc, Jump Out of Bounds Positive
BGEZAL1, BGEZAL, Passed, mjnwlc, Positive Branch (GZ) + Positive Branch (EZ) + Delay Slot Check + Link Check
BGEZAL2, BGEZAL, Passed, mjnwlc, Negative Branch (GZ) + Negative Branch (EZ) + No Branch + Delay Slot Check + Link Check
BGEZAL3, BGEZAL, Passed, mjnwlc, Jump Out of Bounds Negative
BGEZAL4, BGEZAL, Passed, mjnwlc, Jump Out of Bounds Positive
BGTZ1, BGTZ, Passed, mjnwlc, Negative Branch + No Branch + Delay Slot Check
BGTZ2, BGTZ, Passed, mjnwlc, Positive Branch + No Branch + Delay Slot Check
BGTZ3, BGTZ, Passed, mjnwlc, Jump Out of Bounds Negative
BGTZ4, BGTZ, Passed, mjnwlc, Jump Out of Bounds Positive
BLEZ1, BLEZ, Passed, mjnwlc, Positive Branch (LZ) + Positive Branch (EZ) + Delay Slot Check
BLEZ2, BLEZ, Passed, mjnwlc, Negative Branch (LZ) + Negative Branch (EZ) + No Branch + Delay Slot Check
BLEZ3, BLEZ, Passed, mjnwlc, Jump Out of Bounds Negative
BLTZ1, BLTZ, Passed, mjnwlc, Positive Branch + No Branch + Delay Slot Check
BLTZ2, BLTZ, Passed, mjnwlc, Negative Branch + No Branch + Delay Slot Checkl
BLTZ3, BLTZ, Passed, mjnwlc, Jump Out of Memory Negative
BLTZ4, BLTZ, Passed, mjnwlc, Jumo Out of Bounds Positive
BLTZAL1, BLTZAL, Passed, mjnwlc, Positive Branch + No Branch + Delay Slot Check + Link Check
BLTZAL2, BLTZAL, Passed, mjnwlc, Negative Branch + No Branch + Delay Slot Check + Link Check
BLTZAL3, BLTZAL, Passed, mjnwlc, Branch Out of Bounds Negative
BLTZAL4, BLTZAL, Passed, mjnwlc, Branch Out of Bounds Positive
BNE1, BNE, Passed, mjnwlc, Positive Branch + Delay Slot Check
BNE2, BNE, Passed, mjnwlc, Negative Branch + No Branch + Delay Slot Check
BNE3, BNE, Passed, mjnwlc, Jump Out of Bounds Negative
BNE4, BNE, Passed, mjnwlc, Jump Out of Bounds Positive
DIV1, DIV, Passed, mjnwlc, (Regular Division) 1967556744/605365266 then LO + HI
DIV2, DIV, Passed, mjnwlc, (Signed Division) -7/-3
DIV3, DIV, Passed, mjnwlc, (Signed Division) -7/3
DIV4, DIV, Passed, mjnwlc, (Signed Division) 7/-3
DIVU1, DIVU, Passed, mjnwlc, (Regular Division) 1967556744/605365266
DIVU2, DIVU, Passed, mjnwlc, (Interpreted Signed Division) -7/-3 
DIVU3, DIVU, Passed, mjnwlc, (Interpreted Signed Division) -7/3
DIVU4, DIVU, Passed, mjnwlc, (Interpreted Signed Division) 7/-3
GETC1, GETC, Passed, mjnwlc, Getchar all loads (A-G EOF H)
GETC2, GETC, Passed, mjnwlc, Getchar unaligned LH
GETC3, GETC, Passed, mjnwlc, Getchar unaligned LHU
GETC4, GETC, Passed, mjnwlc, Getchar unaligned LB
GETC5, GETC, Passed, mjnwlc, Getchar unaligned LBU
J1, J, Passed, mjnwlc, Large Jump
J2, J, Passed, mjnwlc, Small Jump
JAL1, JAL, Passed, mjnwlc, Large Jump
JAL2, JAL, Passed, mjnwlc, Small Jump
JALR1, JALR, Passed, mjnwlc, JALR 0 Store in R6 Settle Delay Slot
JALR2, JALR, Passed, mjnwlc, JALR R1 R1 = 0x10000010 Default Store in 31
JR1, JR, Passed, mjnwlc, JR 0 Settle Delay Slot
JR2, JR, Passed, mjnwlc, JR R1 R1 = 0x10000010 Delay Slot Check
LB1, LB, Passed, mjnwlc, Store and load 0xCD (-51)
LB2, LB, Passed, mjnwlc, LB out of bounds
LB3, LB, Passed, mjnwlc, LB from first instruction
LBU1, LBU, Passed, mjnwlc, Store and load CD (205)
LBU2, LBU, Passed, mjnwlc, LBU out of bounds
LBU3, LBU, Passed, mjnwlc, LBU from first instruction
LH1, LH, Passed, mjnwlc, Store and load ABCD (-21555)
LH2, LH, Passed, mjnwlc, LH out of bounds
LH3, LH, Passed, mjnwlc, LH from first instruction
LH4, LH, Passed, mjnwlc, LH unaligned
LHU1, LHU, Passed, mjnwlc, Store and load ABCD (43981)
